<<<<<<< HEAD
id;name;description;latitude;longitude;sequence_number;rating
=======
id;name;description;latitude;longitude;sequence_number
1;neural-net;Producer Naira;33691;50772;92704
2;Hawaii;Garden Hills;6816;84781;59107
3;payment Cordoba;content circuit;40933;77956;77882
4;Devolved services;Avon TCP model;98662;17919;52868
5;XML Computers;COM Architect;17593;91206;55777
6;Market;Practical;71155;53366;99359
7;Small;Steel;62151;16486;81387
8;hacking Ukraine paradigms;Gorgeous help-desk;73889;29593;97402
9;connecting orange Islands;circuit embrace;50088;9141;99842
10;matrix cyan Vista;Fully-configurable;22679;18069;69302
>>>>>>> refs/remotes/origin/main
